"","pathway_name","complex_ID","pathway_ID","top_level_pathway_ID","top_level_pathway_name","species"
"426","ERBB2 Regulates Cell Motility","R-HSA-1248702","R-HSA-6785631","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"427","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","R-HSA-3211683","R-HSA-427389","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"428","ERK/MAPK targets","R-HSA-109845","R-HSA-198753","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"429","ERK/MAPK targets","R-HSA-109845","R-HSA-198753","R-HSA-168256","Immune System","Homo sapiens (Human)"
"430","ERKs are inactivated","R-HSA-109845","R-HSA-202670","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"431","ERKs are inactivated","R-HSA-109845","R-HSA-202670","R-HSA-168256","Immune System","Homo sapiens (Human)"
"432","Erythrocytes take up carbon dioxide and release oxygen","R-HSA-1237033","R-HSA-1237044","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"433","Erythropoietin activates Phosphoinositide-3-kinase (PI3K)","R-HSA-1806184","R-HSA-9027276","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"434","Erythropoietin activates RAS","R-HSA-109783","R-HSA-9027284","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"435","ESR-mediated signaling","R-HSA-109845","R-HSA-8939211","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"436","Establishment of Sister Chromatid Cohesion","R-HSA-1638788","R-HSA-2468052","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"437","Estrogen-dependent gene expression","R-HSA-109629","R-HSA-9018519","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"438","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","R-HSA-109845","R-HSA-9634638","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"439","Ethanol oxidation","R-HSA-5692218","R-HSA-71384","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"440","Eukaryotic Translation Elongation","R-HSA-156911","R-HSA-156842","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"441","Eukaryotic Translation Initiation",NA,NA,NA,NA,NA
"442","Eukaryotic Translation Termination","R-ALL-5691496","R-HSA-72764","R-HSA-392499","Metabolism of proteins","General (all species)"
"443","Eukaryotic Translation Termination","R-HSA-141952","R-HSA-72764","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"444","Export of Viral Ribonucleoproteins from Nucleus",NA,NA,NA,NA,NA
"445","Expression and translocation of olfactory receptors","R-HSA-9010567","R-HSA-9752946","R-HSA-9709957","Sensory Perception","Homo sapiens (Human)"
"446","Extension of Telomeres",NA,NA,NA,NA,NA
"447","Extra-nuclear estrogen signaling","R-HSA-1497830","R-HSA-9009391","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"448","Extracellular matrix organization",NA,NA,NA,"Extracellular matrix organization",NA
"449","Factors involved in megakaryocyte development and platelet production","R-HSA-1008206","R-HSA-983231","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"450","Fanconi Anemia Pathway","R-HSA-109943","R-HSA-6783310","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"451","Fatty acid metabolism",NA,NA,NA,NA,NA
"452","Fatty acids",NA,NA,NA,NA,NA
"453","Fatty acyl-CoA biosynthesis","R-ALL-5690533","R-HSA-75105","R-HSA-1430728","Metabolism","General (all species)"
"454","Fatty acyl-CoA biosynthesis","R-HSA-5655943","R-HSA-75105","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"455","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","R-HSA-68819","R-HSA-8854050","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"456","Fc epsilon receptor (FCERI) signaling","R-HSA-1591209","R-HSA-2454202","R-HSA-168256","Immune System","Homo sapiens (Human)"
"457","FCERI mediated Ca+2 mobilization","R-HSA-109797","R-HSA-2871809","R-HSA-168256","Immune System","Homo sapiens (Human)"
"458","FCERI mediated MAPK activation","R-HSA-109783","R-HSA-2871796","R-HSA-168256","Immune System","Homo sapiens (Human)"
"459","FCERI mediated NF-kB activation","R-HSA-1591209","R-HSA-2871837","R-HSA-168256","Immune System","Homo sapiens (Human)"
"460","Fcgamma receptor (FCGR) dependent phagocytosis",NA,NA,NA,NA,NA
"461","FCGR activation","R-HSA-1591203","R-HSA-2029481","R-HSA-168256","Immune System","Homo sapiens (Human)"
"462","FCGR3A-mediated IL10 synthesis","R-HSA-111922","R-HSA-9664323","R-HSA-1643685","Disease","Homo sapiens (Human)"
"463","FCGR3A-mediated phagocytosis","R-HSA-109844","R-HSA-9664422","R-HSA-1643685","Disease","Homo sapiens (Human)"
"464","Fertilization",NA,NA,NA,NA,NA
"465","FGFR1 ligand binding and activation",NA,NA,NA,NA,NA
"466","FGFR1 mutant receptor activation",NA,NA,NA,NA,NA
"467","FGFR1c ligand binding and activation","R-HSA-190222","R-HSA-190373","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"468","FGFR2 alternative splicing","R-HSA-109631","R-HSA-6803529","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"469","FGFR2 ligand binding and activation",NA,NA,NA,NA,NA
"470","FGFR2 mutant receptor activation",NA,NA,NA,NA,NA
"471","FGFR2b ligand binding and activation","R-HSA-190227","R-HSA-190377","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"472","FGFR2c ligand binding and activation","R-HSA-190225","R-HSA-190375","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"473","FGFR3 ligand binding and activation",NA,NA,NA,NA,NA
"474","FGFR3 mutant receptor activation",NA,NA,NA,NA,NA
"475","FGFR3c ligand binding and activation","R-HSA-190234","R-HSA-190372","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"476","FGFR4 ligand binding and activation","R-HSA-190223","R-HSA-190322","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"477","FGFRL1 modulation of FGFR1 signaling","R-HSA-5654209","R-HSA-5658623","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"478","FLT3 Signaling","R-HSA-109783","R-HSA-9607240","R-HSA-168256","Immune System","Homo sapiens (Human)"
"479","FLT3 signaling in disease",NA,NA,NA,NA,NA
"480","Folding of actin by CCT/TriC","R-HSA-390455","R-HSA-390450","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"481","Formation of a pool of free 40S subunits","R-HSA-72392","R-HSA-72689","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"482","Formation of annular gap junctions","R-HSA-158053","R-HSA-196025","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"483","Formation of apoptosome","R-HSA-114253","R-HSA-111458","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"484","Formation of ATP by chemiosmotic coupling","R-HSA-164835","R-HSA-163210","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"485","Formation of Fibrin Clot (Clotting Cascade)",NA,NA,NA,NA,NA
"486","Formation of HIV elongation complex in the absence of HIV Tat","R-HSA-109631","R-HSA-167152","R-HSA-1643685","Disease","Homo sapiens (Human)"
"487","Formation of HIV-1 elongation complex containing HIV-1 Tat","R-HSA-109631","R-HSA-167200","R-HSA-1643685","Disease","Homo sapiens (Human)"
"488","Formation of Incision Complex in GG-NER","R-HSA-109634","R-HSA-5696395","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"489","Formation of RNA Pol II elongation complex ","R-HSA-109631","R-HSA-112382","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"490","Formation of Senescence-Associated Heterochromatin Foci (SAHF)","R-HSA-211238","R-HSA-2559584","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"491","Formation of TC-NER Pre-Incision Complex","R-HSA-109634","R-HSA-6781823","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"492","Formation of the beta-catenin:TCF transactivating complex","R-HSA-181921","R-HSA-201722","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"493","Formation of the cornified envelope","R-ALL-6814274","R-HSA-6809371","R-HSA-1266738","Developmental Biology","General (all species)"
"494","Formation of the cornified envelope","R-HSA-3288241","R-HSA-6809371","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"495","Formation of the Early Elongation Complex","R-HSA-109631","R-HSA-113418","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"496","Formation of the HIV-1 Early Elongation Complex","R-HSA-109631","R-HSA-167158","R-HSA-1643685","Disease","Homo sapiens (Human)"
"497","Formation of the ternary complex, and subsequently, the 43S complex","R-HSA-72392","R-HSA-72695","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"498","Formation of tubulin folding intermediates by CCT/TriC","R-HSA-390446","R-HSA-389960","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"499","FOXO-mediated transcription",NA,NA,NA,NA,NA
"500","FOXO-mediated transcription of cell cycle genes","R-HSA-206827","R-HSA-9617828","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"501","FOXO-mediated transcription of cell death genes","R-HSA-381204","R-HSA-9614657","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"502","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","R-HSA-206827","R-HSA-9615017","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"503","Free fatty acids regulate insulin secretion",NA,NA,NA,NA,NA
"504","FRS-mediated FGFR1 signaling","R-HSA-109783","R-HSA-5654693","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"505","FRS-mediated FGFR2 signaling","R-HSA-109783","R-HSA-5654700","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"506","FRS-mediated FGFR3 signaling","R-HSA-109783","R-HSA-5654706","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"507","FRS-mediated FGFR4 signaling","R-HSA-109783","R-HSA-5654712","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"508","Frs2-mediated activation","R-HSA-109844","R-HSA-170968","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"509","G alpha (12/13) signalling events","R-HSA-114525","R-HSA-416482","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"510","G alpha (i) signalling events","R-HSA-163622","R-HSA-418594","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"511","G alpha (q) signalling events","R-HSA-114534","R-HSA-416476","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"512","G alpha (s) signalling events","R-HSA-163622","R-HSA-418555","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"513","G alpha (z) signalling events","R-HSA-139828","R-HSA-418597","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"514","G beta:gamma signalling through BTK","R-HSA-167434","R-HSA-8964315","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"515","G beta:gamma signalling through CDC42","R-HSA-167434","R-HSA-8964616","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"516","G beta:gamma signalling through PI3Kgamma","R-HSA-167434","R-HSA-392451","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"517","G beta:gamma signalling through PLC beta","R-HSA-167434","R-HSA-418217","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"518","G protein gated Potassium channels",NA,NA,NA,NA,NA
"519","G-protein activation","R-HSA-111864","R-HSA-202040","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"520","G-protein beta:gamma signalling",NA,NA,NA,NA,NA
"521","G-protein mediated events",NA,NA,NA,NA,NA
"522","G0 and Early G1","R-HSA-1226088","R-HSA-1538133","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"523","G1 Phase",NA,NA,NA,NA,NA
"524","G1/S DNA Damage Checkpoints",NA,NA,NA,NA,NA
"525","G1/S Transition",NA,NA,NA,NA,NA
"526","G1/S-Specific Transcription","R-HSA-1226088","R-HSA-69205","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"527","G2/M Checkpoints","R-HSA-3209186","R-HSA-69481","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"528","G2/M DNA damage checkpoint","R-HSA-176269","R-HSA-69473","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"529","G2/M Transition",NA,NA,NA,NA,NA
"530","GAB1 signalosome","R-HSA-179791","R-HSA-180292","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"531","GABA B receptor activation","R-HSA-420698","R-HSA-977444","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"532","GABA receptor activation","R-HSA-5340312","R-HSA-977443","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"533","GABA synthesis, release, reuptake and degradation","R-HSA-210441","R-HSA-888590","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"534","Gamma carboxylation, hypusine formation and arylsulfatase activation",NA,NA,NA,NA,NA
"535","Gamma-carboxylation of protein precursors","R-HSA-159734","R-HSA-159740","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"536","Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",NA,NA,NA,NA,NA
"537","Gap junction assembly","R-HSA-158053","R-HSA-190861","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"538","Gap junction degradation","R-HSA-158053","R-HSA-190873","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"539","Gap junction trafficking",NA,NA,NA,NA,NA
"540","Gap junction trafficking and regulation",NA,NA,NA,NA,NA
"541","Gap-filling DNA repair synthesis and ligation in GG-NER","R-HSA-110338","R-HSA-5696397","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"542","Gap-filling DNA repair synthesis and ligation in TC-NER","R-HSA-109634","R-HSA-6782210","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"543","Gastrin-CREB signalling pathway via PKC and MAPK","R-HSA-109845","R-HSA-881907","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"544","Gastrulation",NA,NA,NA,NA,NA
"545","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","R-HSA-8950759","R-HSA-8950505","R-HSA-168256","Immune System","Homo sapiens (Human)"
"546","Gene expression (Transcription)",NA,NA,NA,"Gene expression (Transcription)",NA
"547","Gene Silencing by RNA",NA,NA,NA,NA,NA
"548","Generation of second messenger molecules","R-HSA-198183","R-HSA-202433","R-HSA-168256","Immune System","Homo sapiens (Human)"
"549","Generic Transcription Pathway","R-HSA-212340","R-HSA-212436","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"550","Germ layer formation at gastrulation","R-HSA-206827","R-HSA-9754189","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"551","GLI3 is processed to GLI3R by the proteasome","R-HSA-206748","R-HSA-5610785","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"552","Global Genome Nucleotide Excision Repair (GG-NER)",NA,NA,NA,NA,NA
"553","Glucagon signaling in metabolic regulation","R-HSA-163622","R-HSA-163359","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"554","Glucagon-like Peptide-1 (GLP1) regulates insulin secretion","R-HSA-111922","R-HSA-381676","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"555","Glucagon-type ligand receptors","R-HSA-163627","R-HSA-420092","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"556","Glucocorticoid biosynthesis","R-HSA-1449677","R-HSA-194002","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"557","Gluconeogenesis","R-HSA-2267351","R-HSA-70263","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"558","Glucose metabolism",NA,NA,NA,NA,NA
"559","Glucuronidation","R-HSA-159191","R-HSA-156588","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"560","Glutamate and glutamine metabolism","R-HSA-507858","R-HSA-8964539","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"561","Glutamate binding, activation of AMPA receptors and synaptic plasticity",NA,NA,NA,NA,NA
"562","Glutamate Neurotransmitter Release Cycle","R-HSA-210374","R-HSA-210500","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"563","Glutathione conjugation","R-HSA-158548","R-HSA-156590","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"564","Glutathione synthesis and recycling","R-HSA-1247898","R-HSA-174403","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"565","Glycerophospholipid biosynthesis","R-HSA-5333679","R-HSA-1483206","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"566","Glycogen breakdown (glycogenolysis)","R-HSA-453216","R-HSA-70221","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"567","Glycogen metabolism",NA,NA,NA,NA,NA
"568","Glycogen storage diseases",NA,NA,NA,NA,NA
"569","Glycogen synthesis","R-HSA-3321999","R-HSA-3322077","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"570","Glycolysis","R-HSA-179514","R-HSA-70171","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"571","Glycoprotein hormones","R-HSA-1449672","R-HSA-209822","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"572","Glycosaminoglycan metabolism",NA,NA,NA,NA,NA
"573","Glycosphingolipid metabolism",NA,NA,NA,NA,NA
"574","Glyoxylate metabolism and glycine degradation","R-HSA-389671","R-HSA-389661","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"575","Golgi Associated Vesicle Biogenesis","R-HSA-167717","R-HSA-432722","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"576","Golgi Cisternae Pericentriolar Stack Reorganization","R-HSA-109855","R-HSA-162658","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"577","Golgi-to-ER retrograde transport",NA,NA,NA,NA,NA
"578","GP1b-IX-V activation signalling","R-HSA-114596","R-HSA-430116","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"579","GPCR downstream signalling",NA,NA,NA,NA,NA
"580","GPCR ligand binding",NA,NA,NA,NA,NA
"581","GPER1 signaling","R-HSA-111922","R-HSA-9634597","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"582","GPVI-mediated activation cascade","R-HSA-114539","R-HSA-114604","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"583","GRB2 events in EGFR signaling","R-HSA-109783","R-HSA-179812","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"584","GRB2 events in ERBB2 signaling","R-HSA-109783","R-HSA-1963640","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"585","GRB2:SOS provides linkage to MAPK signaling for Integrins ","R-HSA-114514","R-HSA-354194","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"586","GRB2:SOS provides linkage to MAPK signaling for Integrins ","R-HSA-114514","R-HSA-354194","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"587","Growth hormone receptor signaling","R-HSA-1168384","R-HSA-982772","R-HSA-168256","Immune System","Homo sapiens (Human)"
"588","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","R-HSA-177750","R-HSA-9762114","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"589","GTP hydrolysis and joining of the 60S ribosomal subunit","R-HSA-72392","R-HSA-72706","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"590","HATs acetylate histones","R-HSA-3215159","R-HSA-3214847","R-HSA-4839726","Chromatin organization","Homo sapiens (Human)"
"591","HCMV Early Events","R-HCY-9605898","R-HSA-9609690","R-HSA-1643685","Disease","Human cytomegalovirus (HCMV)"
"592","HCMV Early Events","R-HSA-157689","R-HSA-9609690","R-HSA-1643685","Disease","Homo sapiens (Human)"
"593","HCMV Infection",NA,NA,NA,NA,NA
"594","HCMV Late Events","R-HCY-9605898","R-HSA-9610379","R-HSA-1643685","Disease","Human cytomegalovirus (HCMV)"
"595","HCMV Late Events","R-HSA-157689","R-HSA-9610379","R-HSA-1643685","Disease","Homo sapiens (Human)"
"596","HDACs deacetylate histones","R-HSA-4656999","R-HSA-3214815","R-HSA-4839726","Chromatin organization","Homo sapiens (Human)"
"597","HDL remodeling","R-HSA-174643","R-HSA-8964058","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"598","HDMs demethylate histones","R-HSA-5423056","R-HSA-3214842","R-HSA-4839726","Chromatin organization","Homo sapiens (Human)"
"599","HDR through Homologous Recombination (HRR)","R-HSA-5651799","R-HSA-5685942","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"600","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)",NA,NA,NA,NA,NA
"601","HDR through MMEJ (alt-NHEJ)","R-HSA-110338","R-HSA-5685939","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"602","HDR through Single Strand Annealing (SSA)","R-HSA-109943","R-HSA-5685938","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"603","Hedgehog 'off' state","R-HSA-164358","R-HSA-5610787","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"604","Hedgehog 'on' state","R-HSA-177750","R-HSA-5632684","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"605","Hedgehog ligand biogenesis","R-HSA-5362361","R-HSA-5358346","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"606","Heme biosynthesis","R-HSA-189400","R-HSA-189451","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"607","Heme degradation","R-HSA-159191","R-HSA-189483","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"608","Heme signaling","R-HSA-1368079","R-HSA-9707616","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"609","Hemostasis",NA,NA,NA,"Hemostasis",NA
"610","Heparan sulfate/heparin (HS-GAG) metabolism",NA,NA,NA,NA,NA
"611","Hh mutants abrogate ligand secretion",NA,NA,NA,NA,NA
"612","Hh mutants are degraded by ERAD","R-HSA-5362361","R-HSA-5362768","R-HSA-1643685","Disease","Homo sapiens (Human)"
"613","Highly calcium permeable postsynaptic nicotinic acetylcholine receptors","R-HSA-532595","R-HSA-629594","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"614","HIV elongation arrest and recovery","R-HSA-109631","R-HSA-167287","R-HSA-1643685","Disease","Homo sapiens (Human)"
"615","HIV Infection",NA,NA,NA,NA,NA
"616","HIV Life Cycle",NA,NA,NA,NA,NA
"617","HIV Transcription Elongation",NA,NA,NA,NA,NA
"618","HIV Transcription Initiation","R-HSA-109626","R-HSA-167161","R-HSA-1643685","Disease","Homo sapiens (Human)"
"619","Homologous DNA Pairing and Strand Exchange","R-HSA-5682166","R-HSA-5693579","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"620","Homology Directed Repair",NA,NA,NA,NA,NA
"621","Hormone ligand-binding receptors","R-HSA-378947","R-HSA-375281","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"622","Host Interactions of HIV factors",NA,NA,NA,NA,NA
"623","HS-GAG biosynthesis","R-HSA-2022878","R-HSA-2022928","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"624","HS-GAG degradation","R-HSA-1666976","R-HSA-2024096","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"625","HSF1 activation","R-HSA-1221657","R-HSA-3371511","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"626","HSF1-dependent transactivation","R-HSA-444796","R-HSA-3371571","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"627","HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand","R-HSA-1221657","R-HSA-3371497","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"628","Hyaluronan metabolism","R-HSA-2160889","R-HSA-2142845","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"629","Hyaluronan uptake and degradation",NA,NA,NA,NA,NA
"630","Hydrolysis of LPC","R-HSA-1500626","R-HSA-1483115","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"631","IGF1R signaling cascade",NA,NA,NA,NA,NA
"632","IKK complex recruitment mediated by RIP1","R-HSA-1234116","R-HSA-937041","R-HSA-168256","Immune System","Homo sapiens (Human)"
"633","IL-6-type cytokine receptor ligand interactions","R-HSA-1067690","R-HSA-6788467","R-HSA-168256","Immune System","Homo sapiens (Human)"
"634","Immune System",NA,NA,NA,"Immune System",NA
"635","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","R-HSA-167755","R-HSA-198933","R-HSA-168256","Immune System","Homo sapiens (Human)"
"636","Impaired BRCA2 binding to PALB2","R-HSA-5682166","R-HSA-9709603","R-HSA-1643685","Disease","Homo sapiens (Human)"
"637","Impaired BRCA2 binding to RAD51","R-HSA-176269","R-HSA-9709570","R-HSA-1643685","Disease","Homo sapiens (Human)"
"638","Inactivation of APC/C via direct inhibition of the APC/C complex","R-HSA-141410","R-HSA-141430","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"639","Inactivation of CSF3 (G-CSF) signaling","R-HSA-1112525","R-HSA-9705462","R-HSA-168256","Immune System","Homo sapiens (Human)"
"640","Inactivation, recovery and regulation of the phototransduction cascade","R-HSA-2530496","R-HSA-2514859","R-HSA-9709957","Sensory Perception","Homo sapiens (Human)"
"641","Incretin synthesis, secretion, and inactivation",NA,NA,NA,NA,NA
"642","Infection with Mycobacterium tuberculosis",NA,NA,NA,NA,NA
"643","Infectious disease",NA,NA,NA,NA,NA
"644","Inflammasomes",NA,NA,NA,NA,NA
"645","Influenza Infection","R-FLU-169237","R-HSA-168255","R-HSA-1643685","Disease","Influenza A virus"
"646","Influenza Viral RNA Transcription and Replication",NA,NA,NA,NA,NA
"647","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","R-HSA-1013011","R-HSA-997272","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"648","Inhibition of DNA recombination at telomere","R-HSA-174898","R-HSA-9670095","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"649","Inhibition of replication initiation of damaged DNA by RB1/E2F1","R-ALL-113656","R-HSA-113501","R-HSA-1640170","Cell Cycle","General (all species)"
"650","Inhibition of replication initiation of damaged DNA by RB1/E2F1","R-HSA-113646","R-HSA-113501","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"651","Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","R-HSA-141408","R-HSA-141405","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"652","Initial triggering of complement","R-COV-9694268","R-HSA-166663","R-HSA-168256","Immune System","Human SARS coronavirus"
"653","Initial triggering of complement","R-HSA-1591203","R-HSA-166663","R-HSA-168256","Immune System","Homo sapiens (Human)"
"654","Initiation of Nuclear Envelope (NE) Reformation","R-HSA-157456","R-HSA-2995383","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"655","InlB-mediated entry of Listeria monocytogenes into host cell","R-HSA-182910","R-HSA-8875360","R-HSA-1643685","Disease","Homo sapiens (Human)"
"656","Innate Immune System",NA,NA,NA,NA,NA
"657","Inositol phosphate metabolism",NA,NA,NA,NA,NA
"658","Insertion of tail-anchored proteins into the endoplasmic reticulum membrane","R-HSA-9609864","R-HSA-9609523","R-HSA-9609507","Protein localization","Homo sapiens (Human)"
"659","Insulin processing","R-HSA-264908","R-HSA-264876","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"660","Insulin receptor recycling","R-HSA-5252081","R-HSA-77387","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"661","Insulin receptor signalling cascade","R-HSA-109783","R-HSA-74751","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"662","Integration of energy metabolism",NA,NA,NA,NA,NA
